Asset,Type,Source,Source URL,Author,License,License URL,Retrieved,Source File,Resolution,sRGB,Compression,Purpose
T_Ground037_Color,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Ground037,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Ground037_1K-JPG_Color.jpg,1024x1024,TRUE,TC_DEFAULT,"Forest floor (moss/grass/earth) - Starting Reach ground: forest edge, training grounds"
T_Ground037_Normal,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Ground037,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Ground037_1K-JPG_NormalGL.jpg,1024x1024,FALSE,TC_NORMALMAP,"Ground037 normal, OpenGL convention (matches UE)"
T_Ground037_Roughness,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Ground037,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Ground037_1K-JPG_Roughness.jpg,1024x1024,FALSE,TC_DEFAULT,Ground037 roughness (data map)
T_Ground037_AO,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Ground037,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Ground037_1K-JPG_AmbientOcclusion.jpg,1024x1024,FALSE,TC_DEFAULT,Ground037 ambient occlusion (data map)
T_Rock063_Color,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Rock063,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Rock063_1K-JPG_Color.jpg,1024x1024,TRUE,TC_DEFAULT,"Aged mossy cliff rock - Brunnfeld: repaired stone, ruins, broken walls"
T_Rock063_Normal,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Rock063,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Rock063_1K-JPG_NormalGL.jpg,1024x1024,FALSE,TC_NORMALMAP,"Rock063 normal, OpenGL convention (matches UE)"
T_Rock063_Roughness,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Rock063,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Rock063_1K-JPG_Roughness.jpg,1024x1024,FALSE,TC_DEFAULT,Rock063 roughness (data map)
T_Rock063_AO,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Rock063,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Rock063_1K-JPG_AmbientOcclusion.jpg,1024x1024,FALSE,TC_DEFAULT,Rock063 ambient occlusion (data map)
T_Planks009_Color,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Planks009,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Planks009_1K-JPG_Color.jpg,1024x1024,TRUE,TC_DEFAULT,"Old wooden planks - Brunnfeld: wooden scaffolds, fences, old road ruins"
T_Planks009_Normal,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Planks009,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Planks009_1K-JPG_NormalGL.jpg,1024x1024,FALSE,TC_NORMALMAP,"Planks009 normal, OpenGL convention (matches UE)"
T_Planks009_Roughness,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Planks009,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Planks009_1K-JPG_Roughness.jpg,1024x1024,FALSE,TC_DEFAULT,Planks009 roughness (data map)
T_Planks009_AO,Texture 1K JPG,ambientCG,https://ambientcg.com/view?id=Planks009,ambientCG,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-24,Planks009_1K-JPG_AmbientOcclusion.jpg,1024x1024,FALSE,TC_DEFAULT,Planks009 ambient occlusion (data map)
